,Region,Unnamed: 0,id,Electorate,ExpectedBallots,VerifiedBallotPapers,Pct_Turnout,Votes_Cast,Valid_Votes,Remain,Leave,Rejected_Ballots,No_official_mark,Voting_for_both_answers,Writing_or_mark,Unmarked_or_void,Pct_Remain,Pct_Leave,Pct_Rejected
0,East,1081,11428,4398796,3331637,3331459,3559.8599999999997,3331312,3328983,1448616,1880367,2329,17,815,72,1425,2022.7799999999997,56.44523839256125,3.27
1,East Midlands,2660,10451,3384299,2510653,2510561,3018.0899999999992,2510496,2508515,1033036,1475479,1981,7,694,73,1207,1617.02,58.77240991421615,2.85
2,London,3399,561,5424768,3781355,3781234,2303.9700000000003,3781204,3776751,2263519,1513232,4453,26,1788,143,2496,2009.98,40.019845530682815,3.939999999999999
3,North East,1506,786,1934341,1341474,1341387,829.5699999999999,1341387,1340698,562595,778103,689,8,185,30,466,486.25,58.00734612755305,0.6200000000000001
4,North West,5889,5583,5241568,3668740,3668629,2758.8199999999997,3668627,3665945,1699020,1966925,2682,44,851,110,1677,1719.3100000000002,53.614744698766046,2.87
5,Scotland,6000,5232,3987112,2681265,2681179,2195.8700000000003,2681179,2679513,1661191,1018322,1666,6,553,38,1069,1947.62,37.98038101894726,2.120000000000001
6,South East,15879,17317,6465404,4963338,4963182,5162.379999999998,4963110,4959683,2391718,2567965,3427,13,1197,148,2069,3204.6099999999997,51.74104543320619,4.639999999999998
7,South West,10693,7240,4114015,3155032,3154831,2861.520000000001,3154737,3152585,1483697,1668888,2152,5,727,65,1355,1713.6799999999998,52.90101837332241,2.3800000000000003
8,Wales,7029,3003,2270272,1628115,1628075,1583.18,1628054,1626919,772347,854572,1135,39,418,27,651,1026.35,52.49039651018946,1.4900000000000007
9,West Midlands,10365,7615,4116572,2965599,2965411,2236.0299999999993,2965369,2962862,1207175,1755687,2507,7,1000,55,1445,1190.5600000000002,59.2063584666866,2.220000000000001
10,Yorkshire and The Humber,7791,3174,3877780,2741465,2741394,1518.7,2741172,2739235,1158298,1580937,1937,42,700,74,1121,868.35,57.67376144218604,1.3200000000000007
